Região de Saúde (CIR),2010/jan.,2010/fev.,2010/mar.,2010/abr.,2010/mai.,2010/jun.,2010/jul.,2010/ago.,2010/set.,2010/out.,2010/nov.,2010/dez.,2011/jan.,2011/fev.,2011/mar.,2011/abr.,2011/mai.,2011/jun.,2011/jul.,2011/ago.,2011/set.,2011/out.,2011/nov.,2011/dez.,2012/jan.,2012/fev.,2012/mar.,2012/abr.,2012/mai.,2012/jun.,2012/jul.,2012/ago.,2012/set.,2012/out.,2012/nov.,2012/dez.,2013/jan.,2013/fev.,2013/mar.,2013/abr.,2013/mai.,2013/jun.,2013/jul.,2013/ago.,2013/set.,2013/out.,2013/nov.,2013/dez.,2014/jan.,2014/fev.,2014/mar.,2014/abr.,2014/mai.,2014/jun.,2014/jul.,2014/ago.,2014/set.,2014/out.,2014/nov.,2014/dez.,2015/jan.,2015/fev.,2015/mar.,2015/abr.,2015/mai.,2015/jun.,2015/jul.,2015/ago.,2015/set.,2015/out.,2015/nov.,2015/dez.,2016/jan.,2016/fev.,2016/mar.,2016/abr.,2016/mai.,2016/jun.,2016/jul.,2016/ago.,2016/set.,2016/out.,2016/nov.,2016/dez.,2017/jan.,2017/fev.,2017/mar.,2017/abr.,2017/mai.,2017/jun.,2017/jul.,2017/ago.,2017/set.,2017/out.,2017/nov.,2017/dez.,2018/jan.,2018/fev.,2018/mar.,2018/abr.,2018/mai.,2018/jun.,2018/jul.,2018/ago.,2018/set.,2018/out.,2018/nov.,2018/dez.,2019/jan.,2019/fev.,2019/mar.,2019/abr.,2019/mai.,2019/jun.,2019/jul.,2019/ago.,2019/set.,2019/out.,2019/nov.,2019/dez.,2020/jan.,2020/fev.,2020/mar.,2020/abr.,2020/mai.,2020/jun.,2020/jul.,2020/ago.,2020/set.,2020/out.,2020/nov.,2020/dez.,2021/jan.,2021/fev.,2021/mar.,2021/abr.,2021/mai.,2021/jun.,2021/jul.,2021/ago.,2021/set.,2021/out.,2021/nov.,2021/dez.,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,2022/set.,2022/out.,2022/nov.,2022/dez.,2023/jan.,2023/fev.,2023/mar.,2023/abr.,2023/mai.,2023/jun.,2023/jul.,2023/ago.,2023/set.,2023/out.,2023/nov.,2023/dez.,2024/jan.,2024/fev.,2024/mar.,2024/abr.,2024/mai.,2024/jun.,2024/jul.,2024/ago.,2024/set.,2024/out.,2024/nov.,2024/dez.,2025/jan.,2025/fev.,2025/mar.,2025/abr.,2025/mai.,2025/jun.,2025/jul.,2025/ago.,2025/set.,2025/out.,2025/nov.,2025/dez.,2026/jan.
31087 Lagoa da Prata/Santo Antônio do Monte,"407,89","401,91","398,61","418,05","436,95","438,48","457,14","455,13","461,93","470,48","452,36","462,16","440,23","444,24","447,23","442,21","472,72","510,38","495,75","498,76","442,86","472,1","472,13","479,56","470,06","457,76","455,2","449,78","477,07","463,92","487,47","488,89","484,08","454,09","460,72","496,92","449,47","469,46","453,62","505,2","799,62","717,05","723,02","773,59","693,68","715,48","730,05","695,97","779,7","761,45","755,63","664,34","769,86","910,04","882,42","774,68","753,46","628,12","713,8","772,78","671,14","665,24","681,74","689,24","694,37","657,46","770,89","747,43","796,63","760,16","636,85","845,12","737,54","830,48","676,93","775,3","710,86","770,8","671,23","755,39","749,42","735,19","759,51","784,29","784,76","768,02","741,66","704,62","745,12","877,38","834,19","884,88","856,9","800,6","839,47","826,17","778,27","801,49","780,09","795,81","810,26","875,89","940,77","815,5","836,92","831,55","824,72","820,7","771,23","801,42","803,23","782,28","784,76","889,67","884,96","818,28","779,87","770,12","738,02","825,44","793,78","843,65","791,66","862,31","997,34","1.190,14","1.772,77","1.978,68","2.004,95","1.993,24","959,2","1.212,78","1.217,87","1.007,92","2.271,08","1.927,96","2.125,01","2.181,38","3.876,18","2.817,63","1.647,39","1.189,43","1.702,69","1.490,33","1.683,89","2.787,56","1.135,70","1.088,80","1.342,27","1.281,46","1.303,11","1.121,34","1.306,36","1.256,65","1.255,62","1.320,57","1.359,38","1.263,05","1.371,17","1.088,10","1.299,23","1.247,63","1.251,20","1.279,12","1.343,63","1.305,19","1.378,68","1.350,19","1.300,64","1.488,46","1.209,35","1.172,55","1.155,53","1.201,30","1.155,94","1.284,99","1.257,39","1.180,19","1.331,97","1.324,95","1.331,57","1.052,67","1.179,91","1.237,01","1.380,33","1.205,85","1.275,67","1.312,05","1.217,71","1.269,02","1.292,08","1.517,67","986,05"
31088 Oliveira/Santo Antônio do Amparo,"548,34","499,23","609,85","620,79","528,96","586,15","600,94","570,07","565,33","591,33","571,51","547,94","558,84","541,19","595,86","623,02","534,33","512,77","624,86","473,74","514,15","526,73","564,14","724,89","570,51","603,21","584,79","602,78","577,84","658,29","608,52","602,45","588,08","583,85","594,74","594,71","581,32","554,59","562,9","758,53","873,15","813,6","958,86","858,76","816,85","874,25","834,22","917,69","866,55","908,95","1.126,94","951,87","907,93","1.054,58","1.002,26","1.022,86","902,65","1.078,30","1.074,29","959,02","994,64","1.091,20","809,75","1.038,46","912,08","1.013,00","973,13","828,5","825,61","962,17","789,84","964,4","874,45","823,29","734,55","870,11","852,8","818,75","924,47","877,29","1.010,87","869,83","980,73","775,62","882,29","969,52","866,19","842,38","842,86","801,69","928,12","927,22","839,34","919,17","828,87","1.023,90","918,36","979,19","924,9","858,21","915,65","896,69","964,16","959,19","1.011,22","981,9","910,93","1.031,30","1.020,37","922,26","1.028,69","1.059,35","1.019,85","953,48","1.010,16","956,75","1.033,52","909,1","914,25","955,47","1.043,87","1.133,69","1.030,28","1.232,98","1.114,15","1.256,41","1.231,47","1.441,27","1.534,84","1.446,80","1.289,17","1.208,03","1.360,99","1.164,10","893,15","1.375,58","1.497,05","1.472,76","1.780,35","1.947,86","1.576,57","1.331,11","1.174,07","1.240,11","1.221,24","1.496,07","1.174,50","1.325,44","1.038,72","1.268,09","1.244,49","1.159,22","1.330,74","1.273,08","1.273,94","1.367,58","1.245,12","1.238,79","1.182,16","1.101,58","1.264,29","1.263,99","1.349,93","1.312,80","1.245,25","1.283,77","1.286,26","1.166,49","1.187,99","1.079,72","1.131,85","1.092,07","1.182,70","1.271,96","1.107,07","1.325,57","1.381,99","1.344,97","1.436,28","1.589,99","1.314,98","1.132,33","1.291,25","1.122,50","1.266,92","1.232,77","1.153,40","1.220,76","1.197,51","1.343,03","1.269,55","1.381,03","1.016,11"
31089 Campo Belo,"701,37","638,87","742,03","612,09","704,02","708,28","767,71","679,04","750,24","730,18","702,54","728,52","688,48","720,28","671,68","710,28","728,46","755,67","657,43","635,18","689,2","705,24","690,29","684,76","757,71","694,94","728,65","752,44","813,32","917,63","850,75","832,05","808,1","886,91","898,29","916,12","857,71","753,99","874,96","897,2","878,88","910,86","991,52","922,52","890,26","845,64","868,3","933,72","862,95","940,87","945,12","1.049,87","1.034,86","1.004,49","831,09","1.121,23","947,51","1.040,40","916,97","1.007,88","1.034,74","990,54","1.037,67","992,65","1.015,04","1.091,77","916,63","942,02","1.010,39","912,77","976,6","950,38","794,99","1.124,85","775,01","898,07","861,59","965,59","906,91","868,93","843,29","954,82","1.031,14","913,64","826,56","995,14","958,98","861,26","942,91","998,85","829,12","770,35","1.022,68","860,53","782,41","1.021,65","830,21","1.006,40","807,52","969,44","837,4","826,96","928,47","834,82","829,25","899,99","731,36","869,82","822,36","777,81","850,69","909,62","1.040,37","917,61","892,72","870,43","805,96","856,39","831,04","885,42","751,57","766,21","940,75","932,98","874,91","906,18","983,09","1.147,82","1.222,87","1.332,40","1.131,99","1.024,86","1.114,76","1.065,68","1.127,26","2.018,88","2.363,59","2.232,34","2.283,80","1.752,34","1.791,98","1.198,45","1.269,21","1.167,04","1.032,94","1.339,31","1.490,00","873,02","1.128,85","1.007,05","992,91","964,22","985,03","886,24","883,87","1.201,32","1.205,64","1.175,52","1.366,70","1.326,04","1.064,94","1.253,90","1.197,67","1.424,11","1.204,15","1.324,24","1.419,83","1.168,66","1.220,41","1.351,14","1.263,01","1.290,25","1.162,60","1.173,38","1.101,07","1.378,36","1.325,67","1.380,70","1.372,35","1.115,78","1.296,20","1.182,65","1.529,51","1.463,41","1.461,28","1.357,13","1.379,78","1.342,46","1.466,50","1.696,38","1.707,66","1.274,20","1.059,11"
31090 Lima Duarte,"444,03","423,62","414,09","450,17","431,17","474,05","456,28","442,12","460,34","425,3","426,36","439,63","442,9","434,9","418,21","422,65","415,77","424,32","447,65","451,53","424,91","424,99","421,2","416,31","428,21","429,38","419,75","408,2","441,21","454,79","438,88","448,21","450,15","429,12","454,95","454,98","433,94","418,03","419,31","432,52","474,24","446,84","451,11","429,94","425,68","443,63","428,98","433,36","456,43","412,09","431,82","443,95","462,24","462,31","471,16","482,61","457,03","421,05","409,92","447,37","442,72","441,84","424,64","433,08","458,15","441,34","445,54","448,08","420,76","430,88","446,39","425,79","423,65","409,71","440,18","450,98","468,47","474,96","445,86","421,48","441,57","425,18","430,36","436,42","411,3","435,03","395,71","380,73","431,14","437,43","422,76","419,28","453,43","428,42","438,93","429,98","430,51","453,68","463,32","436,82","482,48",463,"493,3","498,91","466,32","461,02","439,81","429,02","439,57","433,12","472,05","448,35","421,93","471,02","462,46","488,63","450,3","437,02","448,11","450,33","457,32","486,76","549,84","446,91","507,8","464,33","494,37","468,85","499,03","455,33","493,95","460,29","460,26","452,4","457,22","600,31","601,24","599,98","476,35","574,75","492,94","464,38","437,33","458,1","507,16","537,34","468,23","509,56","457,13","476,05","515,44","491,73","495,79","524,1","507,31","511,09","523,29","488,61","504,35","533,12","513,7","522,07","523,41","534,48","500,69","523,63","516,85","435,88","461,52","459,13","437,78","461,11","466,85","514,24","542,63","562,43","564,3","497,9","579,48","521,15","478,35","455,83","517,51","443,83","485,01","468,21","512,62","470,22","558,96","511,68","435,25","522,89","459,41"
31091 Cássia,"451,64","417,16","424,89","455,64","460,58","501,71","480,42","437,82","457,1","453,94",476,"424,55","444,47","418,56","478,55","436,83","440,39","519,61","457,01","465,48","390,22","475,55","407,64","456,13","409,48","412,33","429,69","416,68","427,18","471,46","473,22","448,06","472,13","443,67","408,9","398,02","415,24","380,75","453,88","481,69","498,4","533,84","481,63","537,72","559,87","501,48","701,45","578,38","579,11","673,21","767,75","672,11","668,66","455,75","437,84","424,98","630,67","660,96","740,09","872,67","656,48","764,79","821,56","678,9",533,"537,56","466,77","598,93","546,38","515,48","476,19","447,54","496,91","473,17","458,38","425,77","487,24","486,3","484,05","494,63",486,"438,9","450,18","470,03","386,2","432,21","445,5","457,75","468,4","441,96","475,48","517,88","457,88","522,07","531,28","539,52","390,09","460,16","438,16","444,95","442,09","471,76","586,85","432,25","480,16","503,64","557,61","595,37","474,33","385,92","419,27","429,49","489,67","506,71","563,28","534,33","490,05","449,78","444,02","490,57","439,47","474,19","498,12","499,49","576,66","502,54","510,28","567,33","633,89","550,31","527,41","535,41","544,17","536,67","819,82","1.087,51","1.028,44","1.063,21","936,49","902,18","645,92","656,33","659,66","627,56","624,2","754,28","532,66","563,4","547,36","532,97","575,66","569,97","563,03","563,06","561,74","516,32","487,51","547,42","563,24","496,51","655,68","617,19","619,3",695,"599,21","674,73","585,14","573,74","589,84","683,04","850,9","508,7","616,07","622,16","588,54","567,26","792,75","856,24","720,89","590,62","693,46","773,76","613,38","651,91","706,78","739,07","799,65","622,28","708,8","815,86","718,8","731,5","561,44"
31092 Passos,"1.072,00","1.116,54","1.076,92","1.117,08","1.006,43","1.084,39","1.208,68","1.116,69","1.110,45","1.080,22","1.155,13","1.215,01","967,54","1.352,96","1.241,15","1.190,19","1.194,54","1.240,56","1.233,33","1.091,13","1.304,00","1.164,13","1.214,88","1.198,95","1.303,97","1.177,47","1.141,34","1.185,12","1.297,47","1.280,98","1.343,46","1.258,17","1.340,08","1.266,50","1.259,92","1.251,48","1.167,15","1.401,72","1.338,76","1.371,93","1.421,81","1.469,46","1.367,66","1.434,58","1.446,16","1.425,96","1.442,86","1.485,69","1.494,27","1.608,88","1.414,52","1.513,67","1.641,41","1.516,72","1.600,08","1.731,30","1.509,74","1.499,60","1.595,09","1.765,93","1.619,58","1.667,62","1.708,13","1.820,24","1.918,35","1.655,87","1.659,92","1.793,43","1.753,48","1.854,18","1.681,44","1.681,86","1.919,80","1.680,09","2.047,36","1.996,77","2.068,69","1.999,82","2.308,91","2.219,93","2.322,49","2.247,71","2.401,96","2.162,69","2.473,46","1.907,28","2.360,84","2.090,42","2.386,20","2.020,49","2.259,06","2.903,68","1.918,37","2.101,38","2.343,97","2.208,84","2.248,41","2.180,55","2.573,99","2.330,45","2.236,19","2.173,48","2.504,06","2.197,06","1.995,94","2.238,48","2.243,70","2.339,03","2.420,48","2.062,18","2.201,72","2.353,14","2.105,17","2.187,22","2.460,14","2.331,25","2.340,48","2.414,63","2.265,53","2.221,66","2.182,97","2.187,56","2.311,57","2.317,20","2.410,70","2.772,78","2.549,29","2.813,35","2.693,77","2.531,93","2.397,25","2.766,04","2.458,97","2.463,26","3.521,70","3.198,38","3.572,36","3.499,48","3.565,38","3.199,05","3.029,98","2.510,63","2.336,21","2.196,95","2.374,77","3.120,00","2.455,09","2.428,52","2.451,74","1.887,45","2.679,47","2.733,41","2.475,26","2.477,11","2.288,42","2.345,94","2.816,59","2.620,20","2.505,67","2.450,88","2.293,34","2.510,89","2.313,52","2.668,51","2.444,55","2.656,98","2.648,71","2.626,32","2.452,38","2.703,08","2.458,65","2.553,52","2.957,74","2.565,12","3.106,61","3.123,00","2.860,55","3.408,01","3.330,37","3.316,00","3.240,47","3.526,82","3.067,50","3.341,56","3.382,12","3.127,22","3.155,88","3.449,46","3.340,90","3.848,25","3.696,16","3.873,22","2.161,72"
31093 Piumhi,"440,71","425,64","440,98","428,81","440,52","454,66","450,07","449,45","432,94","464,61","471,06","438,86","443,59","456,06","416,42","556,99","758,98","874,06","809,04","779,83","572,81","864,87","810,68","745,56","706,59","706,28","774,09","805,67","688,06","766,14","747,75","737,73","800,33","699,19","788,9","770,51","749,4","635,11","663,85","785,09","711,12","761,36","790,89","832,96","743,29","675,31","661,14","767,96","819,13","827,7","777,83","717,23","752,99","598,92","689,8","739,3","669,63","691,6","567,37","655,2","807,09","706,04","695,39","803,54","776,02","726,81","668,43","769,27","701,46","759,32","742,67","733,57","678,16","670,94","775,03","754,74","825,98","754,12","665,32","657,78","1.011,65","722,89","1.094,27","1.080,45","635,22","425,84","632,32","430,13","695,71",724,"750,97","757,3","692,26","821,24","848,57","650,21","799,62","757,08","758,53","805,8","737,93","884,68","899,06","900,97","858,94","827,27","817,01","827,79","866,65","806,4","846,64","861,49","662,58","970,69","935,59","818,28","828,93","863,76","817,32","871,94","887,08","847,53","973,31","970,35","1.003,25","997,61","1.082,81","1.002,48","1.000,41","924,04","931,95","1.071,65","1.098,31","1.203,72","1.207,03","1.336,52","1.137,31","1.352,29","1.118,98","1.116,72","1.051,26","993,57","1.064,56","977,46","920,19","960,46","678,84","850,65","844,37","906,08","738,48","1.094,32","800,03","627,19","553,46","524,74","524,88","534,01","506,24","500,99","622,02",830,"785,56","907,37","751,53","853,47","939,54","903,13","817,9","824,81","768,31","1.013,75","899,67","964,74","890,44","965,79","944,7","824,68","895,21","840,26","874,35","782,67","788,03","879,48","779,42","897,68","934,85","929,3","881,52","797,89","795,15","934,29","786,47"
31094 Almenara/Jacinto,"441,96","459,69","450,22","456,63","459,57","461,1","460,66","475,29","468,84","477,84","462,08","469,92","469,04","476,71","472,35","477,03","480,59","473,1","494,96","480,61","494,44","492,63","479,7","479,4","481,29","487,06","491,98","483,67","494,47","487,07","482,2","495,75","488,03","480,07","482,6","483,82","478,41","503,56","485,08","480,85","491,54","492,9","492,53","518,55","519,03","464,43","498,91","482,05","573,81","550,86","519,03","535,21","523,33","523,19","512,62","508,02","524,85","489,84","585,97","560,12","534,44","489,08","494,9","529,1","495,31","496,88","487,06","505,06","493,05","481,64","482,7","489,84","489,59","501,74","462,45","469,27","482,57","501,5","486,42","468,67","478,86","481,84","461,41","487,87","485,39","499,53","484,42","502,08","495,82","534,72","490,15","487,09","504,1","507,01","492,94","486,7","489,4","466,97","475,68","485,57","489,5","481,87","483,86","471,45","482,59","478,29","497,22","473,54","473,98","475,56","467,49","453,3","513,47","487,32","519,69","494,26","491,9","529,69","494,77","460,82","449,04","445,86","456,39","479,35","466,19","487,45","527,41","502,47","490,38","459,06","475,64","885,21","897,19","828,64","1.105,57","1.267,80","1.124,42","1.058,17","1.080,68","1.170,11","705,06","653,6","510,82","522,17","608,51","657,94","525,7","499,48","525,15","581,8","571,77","664,22","716,84","656,6","786,57","727,17","598,87","592,73","629,45","627,72","710,68","658,65","729,66","678,29","677,63","658,89","605,53","657,24","628,53","673,52","570,47","612,95","694,9","687,05","693,62","646,3","672,08","674,38","650,45","756,53","645,1","714,75","649,4","750,67","759,79","706,23","820,95","747,38","875,06","786,28","832,14","693,59","565,29"
31095 Serro,"440,01","395,99","435,06","437,03","437,94","444,97","442,07","444,58","446,54","446,24","434,76","441,88","417,97","439,77","418,21","426,88","420,43","378,42","470,69","433,7","449,38","474,97","418,46","446,6","479,89","452,79","481,53","515,15","496,49","494,1","518,62","454,94","453,68","539,62","467,05","467,34","502,03","453,72","475,44","434,29","533,1","493,33","476,62","530,01","484,73","486,07","554,96","526,52","692,43","795,15","650,93","630,24","665,2","542,61","523,86","504,88","492,5","470,31","485,8","538,35","477,07","509,88","482,21","463,31","540,63","530,65","509,45","460,52","499,06","513,85","569,56","510,38","514,72","484,25","496,75","436,57","511,79","479,9","480,86","500,31","458,51",493,"445,71","502,16","456,48","487,4","516,47","474,37","502,93","521,45","553,84","547,71","525,98","547,6","521,32","537,9",548,"502,6","462,77",487,"488,96","524,93","476,07","488,49","507,98","508,79","519,35","645,38","612,05","491,05","498,52","524,18","498,25","524,16","525,97","481,31","500,26","514,44","476,89","531,35","527,11","515,3","528,86","514,04","576,6","549,65","543,76","506,67","590,99","464,19","542,48","484,36","558,77","541,99","665,36","656,12","632,19","612,98","720,2","608,79","571,03","538,61","685,16","650,27","538,4","564,9","634,84","640,14","613,99","549,7","538,72","570,66","638,2","673,43","601,3","571,56","603,79","581,74","569,11","617,41","625,94","575,92","643,07","596,39","648,03","647,22","644,53","678,3","613,98","591,17","616,44","657,72","734,1","1.245,12","1.092,74","676,43","695,77","892,56","1.051,94","928,94","910,55","976,24","892,24","880,93","1.016,32","970,58","1.073,92","1.062,48","1.519,29","1.228,90","1.413,06","1.019,50","619,99"
31096 Itambacuri,"464,04","464,11","467,6","484,82","481,28","482,96","482,06","495,84","501,96","479,32","490,78","533,14","490,28","488,53","467,59","454,26","506,07","505,26","491,88","483,63","488,01","459,97","458,27","458,55","450,57","466,39","451,29","478,53","487,76","488,56","499,02","487,3","450,45","474,16","467,52","485,13","493,49","455,49","524,52","530,21","519,94","510,01","532,19","522,49","497,94","496,52","524,51","543,36","557,13","481,27","514,43","525,09","527,73","529,45",526,"586,35","546,24","554,61","556,49","541,92","506,58","575,99","532,85","490,91","507,57","513,17","538,8","517,83","520,34","517,42","541,57","511,4","515,23","487,26","474,53","464,18","480,89","427,87","518,91","573,59","511,24","505,89","503,72","489,66","476,19","526,88","479,75","501,88","509,26","495,84","508,45","494,1","519,39","514,62","469,54","515,3","472,08","477,18","508,91","522,72","487,31","554,57","570,5","488,22","472,8","468,27","478,52","476,57","510,63","489,68","478,42","467,27","487,39","536,81","521,61","527,48","498,17","470,45","469,67","463,55","479,94","465,33","465,46","477,56",504,571,"605,29","562,51","520,32","460,91","479,39","519,01","602,7","525,66","703,75","902,52","732,88","667,55","574,32","505,47","479,73","477,33","492,16","497,11","507,09","561,02","532,07","480,41","454,51","466,86","532,43","499,32","499,09","541,49","467,15","492,51","433,58","461,52","487,46","465,98","486,38","497,83","514,43","468,67","478,51","487,62","454,09","450,98","453,39","472,02","410,15","460,79","436,66","476,3","403,85","460,54","487,48","557,46","521,94","493,63","575,92","600,7","576,91","490,59","482,08","475,08","630,23","593,39","603,62","631,04","791,84","623,01","509,15"
31097 Juiz de Fora,"1.356,17","1.624,10","1.430,17","1.481,74","1.346,83","1.517,15","1.538,26","1.436,89","1.484,01","1.571,91","1.563,76","1.633,81","1.559,90","1.724,59","1.547,70","1.647,58","1.598,81","1.534,31","1.637,58","1.652,39","1.602,98","1.591,02","1.675,67","1.575,39","1.659,09","1.566,83","1.578,88","1.538,95","1.409,66","1.616,26","1.690,68","1.555,62","1.557,57","1.527,52","1.643,58","1.606,48","1.454,96","1.645,87","1.644,93","1.696,85","1.563,62","1.716,60","1.618,15","1.661,37","1.649,38","1.825,68","1.748,60","1.835,43","1.623,26","1.624,21","1.705,30","1.646,64","1.781,89","1.767,40","1.871,96","1.900,28","1.732,81","1.861,29","1.810,02","1.868,98","1.938,20","1.719,86","1.713,81","1.596,70","1.771,49","1.874,29","1.904,12","1.847,03","1.855,62","1.748,13","1.979,34","2.038,78","1.996,08","1.783,70","1.905,76","1.771,65","1.794,96","2.002,26","2.005,26","1.929,75","2.018,38","1.899,25","1.987,49","2.052,08","1.994,42","2.029,92","1.912,23","1.796,93","1.879,42","1.933,63","1.935,24","2.132,95","1.875,75","1.903,06","1.837,92","2.020,84","1.993,67","1.860,02","1.920,63","1.785,66","1.973,36","2.035,07","2.075,61","2.113,02","2.002,57","2.000,54","2.052,50","1.938,23","2.061,92","2.046,05","2.029,76","2.088,44","1.980,49","2.181,44","2.224,05","2.168,33","2.147,95","2.108,57","2.087,12","2.334,29","2.081,95","2.023,89","2.117,62","2.593,48","2.606,25","2.747,41","2.698,00","2.749,83","2.822,55","2.669,15","2.538,36","2.748,09","3.195,78","3.326,02","3.157,44","3.501,54","3.443,74","3.662,83","4.089,92","3.614,14","3.089,27","3.203,16","2.998,16","2.773,38","2.565,97","2.668,64","2.886,49","2.546,14","2.318,33","2.271,80","2.444,42","2.646,14","2.358,59","2.560,88","2.457,45","2.670,85","2.560,57","2.427,18","2.396,61","2.484,76","2.549,58","2.449,82","2.650,17","2.803,35","2.602,00","2.681,76","2.619,85","3.046,96","2.730,38","2.816,82","2.736,63","2.744,08","3.021,01","2.811,89","2.909,49","2.826,86","3.319,52","3.423,94","3.378,64","3.348,10","2.939,20","3.189,89","3.007,09","2.979,54","3.523,79","3.197,23","3.432,69","3.479,46","3.800,43","3.718,73","3.484,66","3.448,25","2.191,93"
31098 Salinas,"401,82","416,21","495,36","522,14","490,08","495,28","524,82","455,04","467,8","425,29","486,2","442,17","437,59","434,95","427,35","449,51","448,46","487,23","463,46",451,"443,46","434,81","429,05","438,96","427,53","434,34","449,57","432,2","443,04","431,49","428,48","409,66","408,52","422,6","392,43","411,47","403,63","427,8","393,03","437,93","450,88","409,38","443,08","410,89","419,01","429,62","431,82","434,24","415,51","431,06","439,26","442,11","437,05","415,06","451,53","441,99","450,04","433,35","438,62","428,62","417,09","442,95","462,64","462,75","480,97","465,62","447,25","479,09","507,01","462,59","432,6","471,1","448,68","443,62","475,08","462,98","449,71","453,7","478,16","499,93","496,38","485,64","481,04","480,62","440,94","459,31","450,26",447,"480,06","474,62","450,08","441,84","471,85","454,02","448,51","462,59","463,56","462,08","461,07","459,95","478,78","432,64","458,11","446,28","452,52","436,73","439,43","444,38","446,01","465,55","430,17","436,23","448,77","427,36","455,08","442,83","437,13","436,39","441,07","392,64","417,98","395,4","444,29","427,68","414,33","493,56","461,99","488,93","434,3","435,73",458,"481,02","473,74","437,94","1.282,41","1.990,91","1.727,78","1.332,73","1.361,06","754,65","592,26","685,94","538,54","468,71","488,65","548,58","472,91","598,28","631,48","709,36","740,48","725,97","727,39","737,61","818,43","766,21","768,69","736,85","761,23","942,27","814,18","934,15","784,87","856,49","802,24","869,19","779,33","746,66","879,75","701,56","703,35","690,48","713,51","761,14","786,27","714,24","844,14","663,95","773,16","697,08","839,11","925,29","717,89","794,53","858,01","846,92","825,36","924,62","822,92","786,65","929,73","826,59","577,03"
31099 Teófilo Otoni/Malacacheta,"917,54","743,24","817,85","927,38","966,98","970,72","871,80","936,11","899,17","454,83","828,78","434,57","911,67","814,58","1.151,15","951,01","983,50","938,42","1.100,27","1.076,36","1.028,64","947,79","1.101,92","1.162,29","1.229,03","962,37","1.116,98","1.070,54","1.148,98","989,58","1.050,19","1.222,67","1.175,34","1.220,21","1.078,04","1.301,92","1.003,68","1.157,86","1.257,48","966,94","1.257,82","1.089,85","1.226,13","1.258,55","1.037,70","1.187,19","1.134,21","1.205,46","1.164,11","1.199,03","1.121,00","1.195,61","1.213,26","1.178,63","1.264,96","1.289,73","1.333,61","1.345,70","1.355,20","1.197,53","1.140,15","1.330,20","1.099,32","1.168,11","1.263,14","1.216,97","1.106,08","1.160,24","1.171,36","1.182,85","1.192,94","1.187,58","1.163,19","1.132,53","1.194,56","949,2","1.147,45","1.281,89","1.155,63","1.300,80","1.197,04","1.301,17","1.159,12","1.193,22","1.358,17","1.411,09","1.342,55","1.356,38","1.356,55","1.360,00","1.555,96","1.307,34","1.453,52","1.456,99","1.241,03","1.297,18","1.359,72","1.237,28","1.296,87","1.671,44","1.440,53","1.295,18","1.395,51","1.405,53","1.514,45","1.382,01","1.455,73","1.462,09","1.383,68","1.416,55","1.401,26","1.406,85","1.381,61","1.435,12","1.425,97","1.424,19","1.582,97","1.329,02","1.487,51","1.410,40","1.403,52","1.475,61","1.494,71","1.708,03","1.661,62","1.902,50","1.878,56","2.482,87","2.191,16","2.143,15","1.897,56","2.006,76","2.033,96","2.102,56","2.058,45","2.335,60","2.179,86","2.137,84","2.422,14","2.035,61","1.982,04","1.785,29","1.703,71","1.694,41","1.891,82","1.813,08","1.560,06","1.706,81","1.657,23","1.647,93","1.637,29","1.705,67","1.442,23","1.815,82","1.519,79","1.678,52","1.454,91","1.762,02","1.693,68","1.656,76","1.639,47","1.787,54","1.738,34","1.748,39","1.777,83","1.703,15","1.862,41","1.960,65","1.695,53","1.779,85","1.528,07","1.706,98","1.761,19","2.075,45","2.260,51","2.055,24","2.009,56","2.027,28","2.429,10","2.275,28","2.175,63","2.229,97","1.938,53","2.200,98","2.285,62","2.349,53","2.321,77","2.338,57","2.735,59","3.012,96","3.010,95","3.126,90","1.553,47"
31100 São Francisco,"457,99","450,72","475,37","493,27","479,16","511,86","498,04","501,93",485,"473,67","471,72","480,67","467,23","485,3","452,56","500,66","484,7","482,62","456,2","441,42","460,18","435,53","442,18","483,13","437,85","464,99","446,13","412,67","460,09","466,44","468,13","476,96","477,41","452,65","469,17","482,2","448,62","490,83","460,96","433,67","454,55","445,4","471,94","436,26","475,54","462,1","455,47","448,9","441,67","459,55","468,42","479,65","463,06","449,35","457,43","454,06","448,49","501,07","480,1","465,45","500,68","499,5","492,68","492,5","545,71","487,36","489,97","459,11","476,15","465,17","480,35","474,17","500,56","482,08","516,82","513,38","477,18","490,15","472,18","425,64","458,05","469,38","459,22","503,59","506,34","520,1","504,99","521,98","528,39","545,54","555,75","518,42","539,19","493,12","551,27","488,02","484,92","516,95","533,9","480,24","472,81","523,83","520,3","500,56","520,44","508,03","516,98","475,16","512,55","527,77","511,77","490,66","510,31","488,01","496,03","487,3","474,32","479,01","483,91","492,49","481,28","451,52","483,26","502,06","493,24","532,62","518,3","521,94","527,75","518,82","510,59","531,6","509,67","498,66","627,05","648,73","666,73","627,03","631,65","566,94","551,7","558,67","561,01","520,47","567,34","554,46","515,9","469,87","495,82","477,44","481,3","513,17","474,03","472,8","488,94","502,22","499,22","459,48","487,29","458,96","444,36","507,39","494,76","487,45","470,95","494,33","496,43","453,74","461,04","452,38","468,4","502,1","525,48","605,23","471,27","435,78","444,65","492,41","429,04","473,61","452,23","427,41","389,86","421,53","416,03","408,19","465,4","529,43","436,52","450,24","479,55","462,37","485,6"
